RBT,41001,0.000900,0.001000
RBT2,41001,0.000800,0.001000
BST,41001,0.191600,0.192000
AVL,41001,0.000900,0.001000
RBT,42001,0.000800,0.001000
RBT2,42001,0.000700,0.001000
BST,42001,0.196300,0.197000
AVL,42001,0.000900,0.001000
RBT,43001,0.000700,0.002000
RBT2,43001,0.000600,0.001000
BST,43001,0.201600,0.204000
AVL,43001,0.000800,0.001000
RBT,44001,0.000800,0.002000
RBT2,44001,0.000600,0.001000
BST,44001,0.210600,0.211000
AVL,44001,0.000700,0.001000
RBT,45001,0.000800,0.002000
RBT2,45001,0.000800,0.001000
BST,45001,0.210800,0.212000
AVL,45001,0.000900,0.001000
RBT,46001,0.001000,0.002000
RBT2,46001,0.000500,0.001000
BST,46001,0.214700,0.216000
AVL,46001,0.000200,0.001000
RBT,47001,0.000700,0.001000
RBT2,47001,0.000700,0.001000
BST,47001,0.220200,0.221000
AVL,47001,0.000900,0.001000
RBT,48001,0.000900,0.002000
RBT2,48001,0.000700,0.001000
BST,48001,0.234700,0.296000
AVL,48001,0.000700,0.001000
RBT,49001,0.000900,0.002000
RBT2,49001,0.000700,0.001000
BST,49001,0.309600,0.420000
AVL,49001,0.000400,0.001000
RBT,50001,0.000800,0.001000
RBT2,50001,0.000800,0.002000
BST,50001,0.233700,0.235000
AVL,50001,0.000500,0.001000
RBT,51001,0.000700,0.002000
RBT2,51001,0.000700,0.001000
BST,51001,0.239000,0.244000
AVL,51001,0.000200,0.001000
RBT,52001,0.001100,0.002000
RBT2,52001,0.000800,0.001000
BST,52001,0.246100,0.247000
AVL,52001,0.000600,0.001000
RBT,53001,0.001000,0.002000
RBT2,53001,0.000700,0.002000
BST,53001,0.253000,0.255000
AVL,53001,0.000800,0.001000
RBT,54001,0.001000,0.002000
RBT2,54001,0.000800,0.001000
BST,54001,0.252200,0.253000
AVL,54001,0.000300,0.001000
RBT,55001,0.000800,0.003000
RBT2,55001,0.000700,0.002000
BST,55001,0.258900,0.265000
AVL,55001,0.000500,0.001000
RBT,56001,0.000700,0.002000
RBT2,56001,0.000700,0.001000
BST,56001,0.266100,0.268000
AVL,56001,0.000700,0.001000
RBT,57001,0.000800,0.002000
RBT2,57001,0.000900,0.002000
BST,57001,0.298800,0.416000
AVL,57001,0.000700,0.001000
RBT,58001,0.000900,0.001000
RBT2,58001,0.000600,0.001000
BST,58001,0.270600,0.273000
AVL,58001,0.000500,0.001000
RBT,59001,0.000900,0.001000
RBT2,59001,0.000800,0.001000
BST,59001,0.296400,0.338000
AVL,59001,0.000500,0.001000
RBT,60001,0.000800,0.001000
RBT2,60001,0.000900,0.001000
BST,60001,0.284800,0.286000
AVL,60001,0.000100,0.001000
RBT,61001,0.000800,0.002000
RBT2,61001,0.000800,0.001000
BST,61001,0.305500,0.347000
AVL,61001,0.000100,0.001000
RBT,62001,0.000800,0.001000
RBT2,62001,0.000800,0.001000
BST,62001,0.293800,0.296000
AVL,62001,0.000200,0.001000
RBT,63001,0.000800,0.002000
RBT2,63001,0.000900,0.002000
BST,63001,0.295500,0.298000
AVL,63001,0.000600,0.001000
RBT,64001,0.000900,0.002000
RBT2,64001,0.000800,0.001000
BST,64001,0.317200,0.344000
AVL,64001,0.000600,0.001000
RBT,65001,0.000700,0.002000
RBT2,65001,0.002500,0.008000
BST,65001,0.312200,0.313000
AVL,65001,0.000800,0.001000
RBT,66001,0.000800,0.001000
RBT2,66001,0.000700,0.001000
BST,66001,0.320900,0.326000
AVL,66001,0.000300,0.001000
RBT,67001,0.000800,0.001000
RBT2,67001,0.000800,0.001000
BST,67001,0.328700,0.336000
AVL,67001,0.000800,0.001000
RBT,68001,0.000800,0.002000
RBT2,68001,0.000700,0.001000
BST,68001,0.345400,0.425000
AVL,68001,0.000200,0.001000
RBT,69001,0.002900,0.007000
RBT2,69001,0.000800,0.001000
BST,69001,0.335700,0.374000
AVL,69001,0.000400,0.001000
RBT,70001,0.000800,0.001000
RBT2,70001,0.000800,0.001000
BST,70001,0.333400,0.335000
AVL,70001,0.001000,0.001000
RBT,71001,0.000800,0.001000
RBT2,71001,0.000800,0.002000
BST,71001,0.341100,0.344000
AVL,71001,0.000400,0.001000
RBT,72001,0.000800,0.002000
RBT2,72001,0.000800,0.001000
BST,72001,0.352500,0.355000
AVL,72001,0.000400,0.001000
RBT,73001,0.002000,0.013000
RBT2,73001,0.000800,0.001000
BST,73001,0.387100,0.430000
AVL,73001,0.000700,0.001000
RBT,74001,0.000800,0.001000
RBT2,74001,0.000600,0.001000
BST,74001,0.356400,0.361000
AVL,74001,0.000400,0.001000
RBT,75001,0.000900,0.002000
RBT2,75001,0.000800,0.002000
BST,75001,0.441400,0.626000
AVL,75001,0.000800,0.001000
RBT,76001,0.002600,0.018000
RBT2,76001,0.000800,0.001000
BST,76001,0.385000,0.393000
AVL,76001,0.000800,0.001000
RBT,77001,0.000600,0.001000
RBT2,77001,0.000700,0.001000
BST,77001,0.391300,0.399000
AVL,77001,0.000700,0.001000
RBT,78001,0.000800,0.001000
RBT2,78001,0.000900,0.001000
BST,78001,0.419000,0.498000
